easierTask,betterUnderstanding,moreControl,timeSaving,lessMentalDemand,moreTrust,biasNoticed,personnelInfluence,personnelInfluenceDifference,futurePreference,additionalComments,biasDescription
task2,equal,equal,task2,task2,equal,task2,5,no_difference,task2,no,nope
equal,equal,equal,equal,equal,equal,no_difference,3,no_difference,equal,,
