aiAccuracyPerception,aiTrustChange,aiVsHumanAccuracy,effortRequired,factOpinionClarity,frustrationLevel,mentalDemand,sourceInfluence,test_field
,,,75,4,75,75,4,
,,,70,5,40,60,4,
