session_id,timestamp,type,data
exit_1756136902439_y582cefg,2025-08-25T17:48:22.808943,questionnaire_completion,"{'questionnaire_type': 'exit', 'completion_time': '2025-08-25T15:48:22.795Z', 'total_questions': 15}"
session_1756149833206_q23asgx6z,2025-08-25T21:32:52.789326,analysis_completion,"{'analysis_session_id': 'c4b639e4-acef-4791-ba19-cdec59b27e76', 'urls_analyzed': ['https://www.theguardian.com/us-news/2025/aug/23/pentagon-ukraine-russia-missiles', 'https://www.independent.co.uk/news/world/europe/ukraine-russia-trump-putin-war-independence-day-live-updates-b2813185.html'], 'facts_count': 10, 'opinions_count': 0, 'total_sentences': 10, 'completion_time': '2025-08-25T19:32:52.781Z'}"
c4b639e4-acef-4791-ba19-cdec59b27e76,2025-08-25T21:36:54.670701,questionnaire_completion,"{'questionnaire_type': 'post_experiment_questionnaire2', 'completion_time': '2025-08-25T19:36:54.664Z', 'total_questions': 30}"
exit_1756150629195_ynu2fwi93,2025-08-25T21:37:09.305584,questionnaire_completion,"{'questionnaire_type': 'exit', 'completion_time': '2025-08-25T19:37:09.300Z', 'total_questions': 14}"
session_1755944984223_g1z86z93r,2025-08-25T22:54:34.562428,analysis_completion,"{'analysis_session_id': '8d9c83d2-0a0d-42c0-8038-bda1b8464a52', 'urls_analyzed': ['https://www.theguardian.com/us-news/2025/aug/23/pentagon-ukraine-russia-missiles'], 'facts_count': 5, 'opinions_count': 0, 'total_sentences': 5, 'completion_time': '2025-08-25T20:54:34.556Z'}"
8d9c83d2-0a0d-42c0-8038-bda1b8464a52,2025-08-25T23:09:48.154583,questionnaire_completion,"{'questionnaire_type': 'bias_analysis', 'completion_time': '2025-08-25T21:09:48.145Z', 'total_questions': 31}"
8d9c83d2-0a0d-42c0-8038-bda1b8464a52,2025-08-25T23:32:50.273321,questionnaire_completion,"{'questionnaire_type': 'bias_analysis', 'completion_time': '2025-08-25T21:32:50.266Z', 'total_questions': 31}"
